"wins_next","wins","score_diff","isHome","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs"
1,1,2,1,2,4,8,0,"1","0","4",5,0,11,1,"1","0","12",3,5
1,1,1,-1,75,76,8,0,"2","0","9",78,73,6,0,"0","1","13",4,3
0,1,8,1,8,15,6,1,"0","0","5",12,7,9,0,"0","0","8",0,8
1,0,-2,-1,26,19,5,1,"1","0","13",20,28,6,1,"3","0","15",2,4
1,1,4,1,22,43,4,1,"0","0","5",32,31,5,0,"1","1","11",0,4
1,1,4,-1,56,45,8,0,"1","1","4",53,49,5,0,"0","1","9",4,0
1,0,-2,1,63,46,11,0,"1","0","7",61,46,9,0,"3","0","10",5,3
0,1,2,1,69,65,4,1,"0","0","5",74,61,8,0,"1","0","10",0,2
1,0,-7,1,67,52,13,1,"2","1","4",66,53,4,0,"1","0","4",8,1
1,1,4,-1,26,30,12,0,"2","0","12",27,29,9,2,"0","0","11",7,3
1,1,4,1,30,29,9,0,"0","0","8",35,23,4,0,"0","1","12",0,4
1,0,-3,-1,19,22,6,0,"0","0","6",18,27,11,0,"1","0","4",2,5
0,1,2,1,64,68,8,1,"0","0","7",75,55,9,0,"0","1","4",2,4
1,1,1,1,66,67,13,0,"3","0","6",64,69,9,1,"3","0","9",6,7
0,1,1,1,64,85,6,1,"1","1","6",82,67,8,0,"2","0","11",1,2
1,1,8,1,30,28,10,0,"0","1","6",34,23,11,1,"4","0","8",1,9
0,0,-6,-1,63,67,3,1,"0","0","6",68,61,11,0,"0","2","11",0,6
1,0,-5,1,62,54,17,0,"1","0","12",67,50,10,1,"0","0","10",8,3
0,1,3,1,8,16,7,2,"0","0","6",15,10,5,0,"2","0","9",1,4
0,1,1,1,46,39,10,0,"0","1","9",44,42,9,0,"2","0","9",2,3
1,1,8,1,33,27,9,2,"1","1","4",30,30,16,0,"2","0","11",3,11
1,1,6,-1,4,2,12,1,"1","2","9",4,3,9,1,"0","0","10",11,5
1,0,-5,1,23,17,9,0,"2","0","10",24,15,6,1,"0","0","5",7,2
1,1,8,1,16,7,10,1,"1","2","8",13,8,15,0,"3","0","7",2,10
1,1,10,1,61,53,4,1,"1","0","6",66,49,15,0,"6","0","8",2,12
0,1,7,-1,11,10,14,0,"1","3","5",11,11,7,0,"2","0","12",11,4
0,0,-2,1,1,0,12,1,"3","0","10",0,1,14,1,"0","2","9",8,6
0,1,2,-1,49,35,13,0,"2","0","18",48,39,16,0,"1","0","18",6,4
1,1,3,1,30,27,5,1,"0","0","11",33,23,7,1,"3","0","7",1,4
1,0,-4,-1,13,16,8,0,"1","0","5",20,12,8,0,"2","1","18",2,6
0,1,6,-1,47,30,12,0,"1","0","8",33,46,8,1,"1","0","10",12,6
0,0,-1,-1,58,44,7,1,"1","0","7",58,45,7,2,"3","0","9",5,6
0,1,4,1,59,77,15,1,"0","0","0",79,56,18,0,"0","0","0",8,12
0,0,-5,1,31,20,11,0,"3","0","7",28,21,4,0,"0","0","6",7,2
0,1,1,-1,73,52,8,0,"3","0","10",59,68,6,0,"1","0","9",4,3
0,1,12,-1,4,11,21,0,"5","0","11",8,6,8,1,"0","0","8",16,4
1,1,8,1,11,14,14,1,"1","2","4",8,14,20,0,"4","4","7",8,16
0,0,-5,-1,62,62,5,1,"1","0","5",76,48,13,0,"1","0","8",3,8
1,1,7,1,92,66,5,0,"1","0","5",77,81,11,0,"4","0","11",1,8
0,1,2,-1,27,19,13,0,"1","0","8",25,21,10,0,"2","0","6",6,4
0,0,-2,-1,26,26,7,2,"0","0","9",23,32,5,0,"1","2","12",1,3
0,1,4,-1,7,0,11,0,"3","1","4",3,4,10,0,"1","0","9",9,5
1,1,5,1,2,3,5,0,"1","0","6",4,0,10,0,"4","0","7",1,6
0,1,8,1,33,41,8,1,"0","0","12",41,34,8,0,"3","0","7",0,8
1,1,1,-1,94,63,17,0,"3","0","7",81,76,6,0,"1","1","11",5,4
0,1,1,1,40,30,9,1,"0","1","4",35,32,7,0,"1","0","7",2,3
0,1,1,-1,4,5,12,0,"1","0","5",4,5,10,1,"2","0","12",5,4
0,0,-13,-1,0,1,8,1,"0","0","6",1,0,10,1,"3","1","3",2,15
1,0,-2,1,26,29,16,0,"0","2","9",31,23,8,0,"3","0","5",8,6
0,1,8,-1,10,15,12,0,"2","0","8",14,12,3,0,"2","0","12",10,2
0,0,-7,1,39,38,14,0,"4","0","14",41,35,9,1,"0","0","8",8,1
0,1,2,-1,62,46,16,4,"2","0","7",52,57,10,1,"1","1","4",7,5
1,1,3,-1,70,52,12,1,"2","0","6",62,61,2,1,"0","2","9",4,1
0,1,1,1,63,84,10,2,"2","0","7",81,66,9,1,"2","0","8",4,5
1,0,-1,1,23,25,14,2,"0","0","0",23,22,13,0,"0","0","0",8,7
0,0,-1,-1,7,9,8,0,"2","0","7",9,7,7,0,"1","0","9",6,7
1,1,6,1,37,45,4,2,"0","0","4",43,39,10,1,"4","0","9",1,7
0,1,4,1,23,26,7,1,"1","1","1",24,22,14,0,"2","0","7",4,8
0,1,1,1,68,76,12,1,"1","1","12",71,73,9,0,"2","0","15",5,6
0,0,-5,-1,47,34,12,1,"1","0","8",43,39,10,1,"1","0","6",4,9
0,1,4,-1,55,52,11,0,"1","0","11",48,61,8,0,"0","3","8",7,3
1,1,3,-1,64,50,11,0,"2","0","4",51,64,10,1,"2","0","9",9,6
0,1,1,-1,57,54,7,1,"2","0","9",52,61,5,0,"1","0","7",3,2
0,0,-3,1,12,26,11,0,"2","0","8",20,15,8,0,"0","0","9",5,2
0,1,2,1,40,39,4,1,"2","0","7",42,36,9,0,"2","0","5",2,4
1,1,1,1,27,34,8,1,"1","0","5",29,30,10,0,"3","0","6",5,6
1,0,-1,1,38,23,10,0,"2","2","9",30,29,13,1,"2","0","11",4,3
1,1,4,1,56,39,8,0,"0","0","6",55,40,10,0,"2","0","9",1,5
1,1,2,1,39,32,7,0,"1","0","4",39,28,9,1,"1","0","9",2,4
0,1,1,1,24,25,5,0,"1","0","9",23,24,6,0,"1","0","8",1,2
1,0,-4,-1,65,51,5,0,"0","0","13",66,50,7,0,"1","1","10",2,6
0,1,6,-1,64,48,14,0,"3","1","10",60,54,12,1,"1","0","8",9,3
0,1,2,-1,34,31,8,1,"2","0","9",22,45,9,1,"1","2","9",6,4
1,1,4,-1,36,33,16,0,"2","0","8",37,34,12,1,"3","0","9",13,9
0,0,-1,1,4,6,9,1,"1","2","7",3,10,4,0,"1","1","7",3,2
0,1,1,-1,2,0,6,0,"1","0","11",0,2,5,0,"2","2","5",6,5
1,1,2,1,56,41,7,1,"0","0","11",57,40,7,1,"2","0","6",3,5
1,1,4,1,46,54,8,1,"1","0","8",50,49,9,0,"2","0","4",3,7
1,1,5,1,32,22,12,0,"1","0","4",30,22,11,1,"7","1","6",7,12
1,0,-2,-1,11,8,9,0,"0","0","8",10,10,7,0,"1","2","3",1,3
0,0,-7,-1,0,2,5,0,"0","0","3",1,1,17,3,"2","0","8",3,10
1,1,1,1,10,8,8,0,"2","0","4",8,10,11,1,"2","1","7",4,5
1,1,1,1,0,2,10,0,"2","1","6",2,0,9,0,"1","0","9",6,7
1,0,-9,1,69,76,12,1,"3","0","4",71,74,8,0,"0","0","5",10,1
0,0,-1,-1,46,46,7,0,"0","0","5",51,41,11,0,"0","0","7",2,3
1,1,1,1,49,41,10,1,"1","0","9",50,41,6,0,"1","0","9",3,4
0,0,-1,-1,63,49,3,0,"1","0","4",50,63,6,0,"0","0","6",1,2
1,0,-2,1,64,60,9,0,"1","1","7",67,56,6,1,"2","0","5",5,3
1,1,1,1,64,89,9,2,"0","0","8",83,71,9,0,"3","0","13",2,3
1,0,-2,-1,12,19,11,1,"1","1","3",15,17,10,4,"1","0","6",3,5
0,0,-4,-1,70,57,3,0,"0","1","6",74,53,10,0,"1","2","10",0,4
1,1,2,-1,11,7,10,0,"0","4","8",11,8,6,3,"1","1","6",4,2
1,1,9,-1,3,5,20,0,"3","0","8",4,4,13,0,"2","1","8",14,5
1,0,-2,-1,95,66,4,3,"1","0","3",83,78,6,0,"0","1","5",2,4
1,0,-3,-1,12,8,6,1,"0","0","4",8,13,10,0,"0","1","6",1,4
1,1,5,-1,38,35,9,0,"4","0","6",39,34,7,1,"1","0","8",6,1
1,1,1,-1,52,36,7,0,"2","0","7",34,55,9,0,"0","0","6",4,3
1,0,-1,1,2,0,11,3,"1","0","7",0,2,8,1,"1","0","6",5,4
1,0,-8,-1,70,59,12,0,"3","0","11",67,61,18,0,"3","2","8",5,13
1,1,8,1,59,75,4,0,"1","0","13",77,56,7,0,"2","0","9",1,9
1,0,-7,-1,27,20,10,4,"0","0","5",26,21,13,0,"0","5","10",4,11
1,1,3,-1,27,27,8,1,"1","0","6",24,33,5,0,"0","0","7",4,1
1,0,-4,-1,3,12,10,1,"2","1","3",6,10,14,1,"1","0","9",5,9
1,1,3,-1,45,45,10,0,"1","0","10",45,45,1,1,"0","0","13",3,0
1,1,3,1,21,25,6,2,"2","0","5",22,24,13,0,"0","1","4",3,6
0,1,7,1,61,54,9,1,"1","0","6",67,49,16,0,"3","0","8",3,10
1,1,16,1,51,68,9,0,"1","0","8",60,56,26,0,"4","0","10",2,18
0,1,3,-1,25,29,11,0,"1","0","6",26,28,7,0,"0","0","7",5,2
0,1,7,-1,88,72,10,1,"3","0","7",83,77,3,1,"0","1","9",8,1
1,1,6,1,84,58,7,1,"0","0","5",69,73,12,0,"4","0","5",2,8
0,1,8,-1,43,39,10,0,"1","2","8",36,43,5,4,"0","0","11",9,1
1,0,-2,1,6,5,3,0,"0","0","7",4,6,5,2,"0","0","6",2,0
1,1,11,-1,6,2,13,0,"0","4","11",2,6,3,6,"1","0","7",13,2
0,1,3,1,33,49,5,0,"1","0","7",42,37,10,0,"2","0","3",1,4
1,1,5,-1,28,27,12,0,"2","2","12",24,34,8,0,"1","0","7",9,4
0,0,-11,-1,0,4,6,5,"0","0","2",2,1,16,1,"3","0","5",2,13
0,0,-2,1,18,17,7,1,"1","0","6",15,18,5,1,"1","0","7",3,1
1,1,1,1,11,25,6,0,"1","1","7",19,14,8,1,"2","0","6",3,4
0,0,-1,1,12,11,8,0,"1","0","6",11,17,11,2,"1","1","3",4,3
1,0,-5,-1,93,63,1,1,"0","0","7",81,75,8,0,"1","2","11",0,5
1,0,-3,1,30,17,8,1,"0","1","5",20,23,5,0,"0","2","5",4,1
0,1,1,1,8,9,4,0,"0","0","12",10,4,10,0,"0","1","9",2,3
0,1,2,-1,10,14,11,1,"3","3","4",12,15,9,0,"1","0","7",5,3
0,1,5,1,17,21,6,1,"2","0","6",17,19,13,0,"1","2","9",4,9
0,0,-3,1,4,6,8,0,"0","0","5",3,7,7,0,"0","0","4",5,2
0,1,2,1,35,42,8,0,"1","0","7",40,35,15,0,"3","0","3",4,6
1,0,-10,1,39,31,13,1,"5","0","10",38,28,7,0,"1","0","8",13,3
0,0,-1,-1,10,6,10,0,"1","0","4",7,10,15,1,"0","0","7",3,4
1,1,2,1,7,7,10,2,"1","3","4",6,12,8,1,"3","4","12",4,6
0,1,2,-1,78,64,8,0,"2","0","6",76,66,5,0,"0","0","9",3,1
0,0,-1,1,91,65,10,0,"1","0","5",76,80,4,0,"1","0","4",4,3
0,1,3,1,38,24,7,0,"1","0","11",31,29,7,1,"2","0","9",3,6
1,1,5,1,37,46,10,2,"0","0","4",44,39,8,0,"3","0","6",3,8
0,0,-7,1,1,0,14,0,"2","0","2",0,1,7,0,"2","1","4",11,4
0,0,-3,1,47,39,11,0,"2","1","6",44,43,10,0,"2","0","7",7,4
1,1,1,1,59,76,10,0,"0","0","6",78,56,8,1,"1","0","12",2,3
1,1,7,1,73,52,10,1,"0","0","8",69,56,13,0,"1","0","3",1,8
1,1,1,1,10,18,11,0,"0","0","6",14,12,12,0,"2","0","14",5,6
0,0,-3,-1,23,27,7,0,"0","0","10",32,20,9,0,"1","1","8",2,5
1,1,1,-1,86,72,11,2,"2","1","7",87,71,6,0,"0","0","13",3,2
0,0,-3,1,25,25,8,0,"2","1","8",23,25,3,0,"0","0","6",3,0
1,1,1,1,57,54,4,0,"0","1","7",62,48,5,0,"1","0","9",0,1
1,0,-8,1,17,17,13,1,"3","0","5",14,17,5,3,"0","0","9",10,2
1,0,-4,-1,64,49,1,1,"1","0","7",61,54,12,0,"1","0","8",1,5
0,1,1,-1,57,45,6,0,"2","0","9",53,50,8,0,"0","1","12",2,1
0,1,6,1,83,57,10,1,"0","0","0",68,72,12,1,"0","0","0",8,14
1,1,1,-1,1,0,8,0,"1","0","2",0,1,7,0,"0","1","5",4,3
1,0,-1,-1,56,54,9,0,"2","0","13",59,51,12,0,"2","2","12",4,5
1,0,-3,-1,57,56,0,0,"0","0","9",54,61,6,0,"0","0","7",0,3
0,1,7,-1,9,13,16,1,"1","1","8",10,9,11,1,"0","0","1",9,2
0,0,-3,1,4,2,10,0,"3","1","9",3,3,8,0,"2","1","5",10,7
0,0,-1,1,63,61,7,1,"1","0","10",62,61,13,3,"0","0","16",4,3
1,0,-3,1,33,48,9,1,"0","0","9",41,37,3,0,"1","0","7",5,2
0,1,2,-1,8,12,8,0,"2","1","8",7,8,10,1,"0","0","7",5,3
0,1,3,1,16,17,8,1,"0","1","9",14,16,8,0,"3","0","13",2,5
0,1,2,1,3,6,8,0,"1","1","11",5,4,15,0,"2","0","12",5,7
0,1,3,1,22,17,7,1,"1","0","4",24,14,8,0,"2","0","10",2,5
1,0,-1,-1,5,5,5,0,"1","1","5",7,3,4,1,"1","0","8",2,3
1,1,3,-1,47,40,16,0,"2","1","8",39,48,6,2,"1","0","13",7,4
0,0,-4,-1,0,9,6,1,"2","0","6",6,3,14,1,"2","0","10",4,8
1,0,-7,1,3,1,16,1,"0","0","2",2,2,13,1,"2","0","6",12,5
1,1,1,1,10,4,11,0,"3","1","6",2,11,9,0,"2","0","8",7,8
0,0,-4,1,2,2,17,3,"0","0","5",0,4,6,0,"0","1","10",10,6
0,0,-3,-1,47,32,5,0,"1","0","10",41,39,10,1,"3","0","11",2,5
0,1,1,1,6,6,7,0,"1","1","8",5,6,9,0,"0","1","7",1,2
0,0,-1,-1,46,47,4,0,"2","1","5",52,41,7,0,"2","0","7",3,4
1,0,-13,1,92,65,18,0,"3","1","10",76,81,7,4,"1","1","5",15,2
1,0,-1,-1,73,55,1,0,"1","0","4",58,72,6,0,"1","1","11",1,2
0,0,-1,1,3,10,12,0,"0","0","4",9,4,8,0,"2","1","6",6,5
1,1,2,1,26,30,10,1,"0","0","12",32,23,6,1,"0","0","8",1,3
0,1,4,-1,95,63,15,0,"0","0","10",81,77,9,0,"3","0","7",9,5
1,0,-1,1,16,6,9,0,"1","1","9",13,9,9,1,"0","0","7",4,3
1,1,4,-1,86,59,15,0,"1","1","4",63,83,8,1,"2","0","10",10,6
0,0,-1,-1,57,55,7,2,"2","0","9",53,61,13,0,"2","0","10",5,6
0,1,1,1,29,17,11,0,"1","0","3",20,22,6,0,"2","0","12",3,4
1,0,-5,1,35,49,18,0,"5","0","10",42,39,13,0,"2","1","5",12,7
1,1,4,-1,87,72,9,0,"0","1","8",87,72,3,0,"0","1","7",4,0
0,0,-1,1,34,49,10,0,"3","0","9",42,38,8,1,"2","0","10",5,4
1,0,-2,-1,9,15,4,1,"1","0","9",9,15,9,0,"3","0","9",4,6
1,1,2,-1,9,14,13,2,"2","0","6",7,18,7,0,"0","0","9",5,3
0,0,-1,-1,0,3,9,1,"1","0","8",3,0,7,0,"3","2","5",3,4
0,1,9,-1,5,12,14,0,"1","0","3",6,9,5,1,"0","0","7",11,2
0,1,1,-1,13,8,11,0,"1","0","6",9,16,8,0,"2","0","5",5,4
1,1,2,-1,16,14,11,1,"1","0","4",15,18,6,1,"1","0","9",5,3
0,0,-1,-1,12,12,7,0,"2","0","5",17,10,7,0,"0","0","10",2,3
1,0,-2,-1,3,11,7,0,"1","0","7",6,5,12,0,"0","1","8",2,4
0,0,-1,1,62,61,7,0,"0","0","6",62,60,7,0,"0","0","8",3,2
1,1,1,-1,48,40,16,0,"0","0","16",39,49,15,2,"1","1","5",7,6
1,1,4,-1,59,45,8,0,"1","0","11",59,46,6,0,"1","0","11",6,2
1,0,-5,1,19,17,13,0,"2","0","9",15,19,3,0,"1","0","7",6,1
1,0,-2,-1,43,42,7,0,"2","0","9",46,39,11,0,"2","2","6",3,5
0,0,-2,-1,23,28,7,0,"0","0","9",33,20,9,0,"2","0","9",4,6
1,0,-1,-1,46,40,5,1,"0","0","6",39,47,9,3,"1","0","9",2,3
1,0,-3,-1,15,14,8,0,"1","0","9",14,15,10,1,"0","2","5",2,5
0,1,3,-1,65,50,10,0,"2","0","7",65,50,5,1,"0","0","11",5,2
1,1,8,-1,77,64,12,0,"4","0","6",76,65,8,0,"0","1","9",11,3
0,0,-1,1,16,21,13,1,"3","0","12",23,13,7,0,"1","1","8",6,5
0,1,2,-1,28,20,8,1,"2","0","9",26,22,8,0,"3","0","12",6,4
1,0,-1,1,21,24,9,0,"0","2","16",21,24,6,0,"1","0","2",3,2
0,0,-1,1,5,7,12,0,"3","1","5",9,3,7,1,"0","0","6",6,5
1,0,-2,-1,2,5,8,0,"0","0","8",4,3,8,0,"0","0","6",2,4
0,0,-3,1,22,12,5,1,"1","1","4",20,16,6,0,"0","0","9",4,1
0,1,1,-1,66,51,15,1,"2","0","4",66,51,14,1,"1","1","7",8,7
1,0,-9,1,24,26,11,1,"1","1","11",24,23,8,1,"0","0","7",9,0
1,0,-1,-1,25,30,6,0,"1","0","9",27,28,7,0,"0","1","12",1,2
1,0,-2,1,60,77,7,1,"0","0","5",79,57,6,1,"2","0","7",6,4
1,1,2,1,68,75,3,1,"0","0","13",70,73,9,0,"0","0","10",0,2
1,0,-2,1,13,10,4,0,"0","0","13",10,11,4,1,"0","0","9",2,0
0,0,-6,-1,47,33,12,0,"1","0","5",42,39,16,1,"5","1","4",6,12
0,0,-3,1,48,52,9,0,"0","0","6",58,41,5,0,"1","0","7",6,3
1,1,1,1,63,42,11,1,"1","0","9",59,46,10,2,"3","0","11",6,7
1,1,8,-1,39,35,12,1,"2","0","3",39,35,4,2,"0","0","7",8,0
1,1,3,1,19,18,6,0,"0","0","7",16,19,7,0,"0","0","9",0,3
0,1,3,-1,63,63,13,0,"5","1","6",77,49,11,0,"1","0","11",8,5
1,1,1,1,18,22,10,1,"0","1","10",18,20,6,1,"1","1","12",4,5
1,1,3,-1,74,76,6,3,"0","0","10",78,72,3,1,"0","0","12",4,1
0,0,-2,-1,43,40,10,0,"2","1","6",44,39,6,0,"3","1","7",2,4
